Country,JS_Distance,N
Afghanistan,0.41043277916867676,70
Albania,0.26461753470070665,199
Anguilla,0.600844539545401,25
Antigua and Barbuda,0.6965298186630006,14
Armenia,0.6993957263802093,13
Australia,0.16971416335674758,1726
Azerbaijan,0.4953861362770435,125
Bahamas,0.3394674714984504,131
Bahrain,0.30667749249008025,173
Bangladesh,0.1369440787377246,1149
Barbados,0.6733750844778549,12
Belarus,0.4380186898546624,415
Belize,0.49324392599314426,47
Bermuda,0.3652191305258807,191
Botswana,0.30738901937613033,166
Brazil,0.3196132342318663,124
British Virgin Islands,0.6939117542335762,13
Canada,0.0797234104506316,7541
Cayman Islands,0.48284955599411633,34
Chile,0.18749354788770403,420
Comoros,0.4102378551899923,67
Croatia,0.21607854323066036,239
Cyprus,0.6686861905399748,12
Czech Republic,0.5727241997658048,14
Denmark,0.13762207732324316,669
Dominica,0.6642165012820523,16
Ecuador,0.23545033952119965,85
Estonia,0.534390952054842,36
Eswatini,0.4881445673999805,58
Ethiopia,0.5419539985030097,381
Finland,0.45863334639954884,41
France,0.14323386515981057,1710
Gabon,0.33490733558019015,134
Gambia,0.4629568070012929,49
Georgia,0.41093393702678266,73
Germany,0.10421354678493398,5107
Ghana,0.10230771112994179,1344
Honduras,0.4710096401015025,36
Hungary,0.13254304159841482,936
Iceland,0.21261627666305788,274
India,0.06877964581798812,8045
Indonesia,0.25165937211908496,154
Iran,0.20910588833464258,201
Ireland,0.25560546346570107,168
Italy,0.2767422478915823,236
Ivory Coast,0.2768478018723682,185
Jamaica,0.3174093404181631,115
Japan,0.12711859325495056,4487
Jordan,0.6432980185946438,23
Kenya,0.18906868663023108,403
Korea,0.07099846327538668,2083
Kuwait,0.18214867113921893,258
Latvia,0.512123272625607,35
Lesotho,0.3136993835460524,160
Liberia,0.2468344765942132,210
Libya,0.43291263092723514,69
Lithuania,0.1705615962473252,568
Luxembourg,0.7046393003769948,16
Madagascar,0.2034166168857273,237
Malawi,0.1502200970942456,739
Malaysia,0.14080470414585194,798
Maldives,0.2447543679001892,219
Malta,0.26013218398796656,236
Marshall Islands,0.4391690286751426,52
Mauritius,0.25331186340551176,231
Micronesia,0.6788739320318584,10
Moldova,0.45059879447861745,53
Mongolia,0.3088852466039132,164
Myanmar,0.19008845626290502,517
New Zealand,0.20119083695330095,619
Nigeria,0.1710260653225807,696
Pakistan,0.15147591040580424,668
Palestine,0.5381632483617877,16
Panama,0.42990373840230445,115
Papua New Guinea,0.15054999013181214,829
Peru,0.60315879384083,26
Philippines,0.08711339088437287,1925
Poland,0.26550782713274645,164
Puerto Rico,0.5203299800810562,41
Romania,0.40774000457455434,323
Russian Federation,0.35145230303445124,225
Saint Lucia,0.40723696111717683,89
Samoa,0.2666160468946183,176
Seychelles,0.5966204812207396,24
Sierra Leone,0.23149485639044773,348
Singapore,0.43353134416592665,73
Slovenia,0.5337945954335056,61
Solomon Islands,0.17308265241099904,461
South Africa,0.34197165388404555,131
St. Vincent and the Grenadines,0.6099739733607132,14
Switzerland,0.3065251669202825,122
Taiwan,0.171952370509357,432
Tanzania,0.21981401358515051,436
Thailand,0.1996864061055104,2225
Tonga,0.5882956348568079,33
Trinidad and Tobago,0.2787346939262826,293
Turks and Caicos Islands,0.6618673023577406,18
Tuvalu,0.49092057251087035,36
Uganda,0.1135962162501003,1270
UK,0.1040076584122414,15120
Ukraine,0.1094428503470008,1072
United Arab Emirates,0.6622859655709276,14
United States,0.06470533489227194,20475
Vanuatu,0.30905443562956025,164
Venezuela,0.41781024919362697,90
Zambia,0.2613789592834543,296
Zimbabwe,0.1878572841858971,608
