Country,JS_Distance,N
Afghanistan,0.29691458836522466,70
Albania,0.18236001388058484,199
Anguilla,0.5089897421331927,25
Antigua and Barbuda,0.6046216825290237,14
Armenia,0.5330425650572129,13
Australia,0.0765501585202875,1726
Azerbaijan,0.19625837482721187,125
Bahamas,0.24071052524006617,131
Bahrain,0.2055078238600902,173
Bangladesh,0.08205488739500548,1149
Barbados,0.626718763761801,12
Belarus,0.14393840545272116,415
Belize,0.3880852275146642,47
Bermuda,0.20067615546185716,192
Botswana,0.18797242800367098,166
Brazil,0.22548976739833218,124
British Virgin Islands,0.5846402326388924,13
Burundi,0.6400030032803283,11
Canada,0.027917268614658458,7542
Cayman Islands,0.44195793832232105,34
Chile,0.13610349592608711,420
Comoros,0.3266142946950907,67
Croatia,0.1613518037231213,239
Cyprus,0.593103164632071,12
Czech Republic,0.5735127020398506,14
Denmark,0.09783786686219074,673
Dominica,0.5626604526331409,16
Ecuador,0.26697607142168006,85
Estonia,0.394160945495605,36
Eswatini,0.3763985923546728,58
Ethiopia,0.11891314719375495,381
Finland,0.4461588735636243,41
France,0.0540074986103686,1712
Gabon,0.23447439903326053,134
Gambia,0.39009493790050365,49
Georgia,0.2736515598426816,73
Germany,0.031855349308782546,5108
Ghana,0.0832196466720332,1344
Honduras,0.45128032924046046,36
Hungary,0.09927246069990353,936
Iceland,0.13190986986049083,284
India,0.026961903761335657,8045
Indonesia,0.2113799779331042,154
Iran,0.21322233004256674,201
Ireland,0.20160109511444477,168
Italy,0.14909455645138467,236
Ivory Coast,0.20166983974696834,186
Jamaica,0.24492897666923938,115
Japan,0.03574073478430263,4487
Jordan,0.49164784312838944,23
Kenya,0.12079448371476172,404
Korea,0.05442087578582549,2083
Kuwait,0.14986246146505477,260
Latvia,0.4307382761126929,35
Lesotho,0.192365297277835,160
Liberia,0.16018258667056853,210
Libya,0.31907318418196057,69
Lithuania,0.13233621935313553,569
Luxembourg,0.5996737029966283,16
Madagascar,0.14914746567853523,237
Malawi,0.10017588158514283,739
Malaysia,0.08895141881712143,798
Maldives,0.2019617139534889,219
Malta,0.198649675401417,236
Marshall Islands,0.3391194184321748,53
Mauritius,0.1727486106446046,231
Micronesia,0.6979592603788826,10
Moldova,0.32354475797064935,54
Mongolia,0.23007514062464696,164
Myanmar,0.11164342697311676,519
New Zealand,0.09964230349188387,619
Nigeria,0.10038952032904046,697
Pakistan,0.09903267529430072,668
Palestine,0.5738417396873696,16
Panama,0.23420798846902646,158
Papua New Guinea,0.10851927201135156,829
Peru,0.5039595813257232,26
Philippines,0.06150641465082597,1946
Poland,0.21164167836022688,164
Puerto Rico,0.4298564277718968,41
Romania,0.13700844838987938,338
Russian Federation,0.18846669795469037,225
Saint Lucia,0.26919148843803153,89
Samoa,0.19598215260232477,176
Seychelles,0.48993643464649456,24
Sierra Leone,0.14103425276064724,348
Singapore,0.3285085729023345,73
Slovenia,0.2656561535669386,116
Solomon Islands,0.12814913449965407,508
South Africa,0.21694672058737804,132
St. Vincent and the Grenadines,0.4828899227244534,14
Switzerland,0.24835155344920223,122
Taiwan,0.11700489129709951,432
Tanzania,0.12024114749497977,436
Thailand,0.05271623434459255,2225
Tonga,0.46782876390081457,33
Trinidad and Tobago,0.14189173972360197,293
Turks and Caicos Islands,0.5330224471808537,18
Tuvalu,0.4296140302044237,37
Uganda,0.07370237532501789,1270
UK,0.022860974158102593,15145
Ukraine,0.07796787243343571,1072
United Arab Emirates,0.6117827768402816,14
United States,0.013126700406358145,20481
Vanuatu,0.216155825377317,164
Venezuela,0.2810313622234838,90
Zambia,0.15917610148091546,296
Zimbabwe,0.1142184706201287,608
